alpha_values,beta_values,attack_value
-0.0545753935214817,-0.032293119185673,0
-0.0750850361701363,-0.012832545836311,0
-0.0158839186553186,0.166527470795094,0
0.653061336909743,-0.666494905632983,0
-0.0781770479814397,-0.00321136346753392,0
0.00571312322591555,0.00498653470062305,0
-0.0156047959221086,0.0195760291749405,0
-0.0646292415609888,-0.0541220413813897,0
-0.0205052767342981,0.0478989743817445,0
0.0114160186300676,-0.0114845821713079,0
0.00114484122120384,0.0236608445240832,0
-0.0389174951287286,-0.0250015945782291,0
-0.0541148783974299,0.018114190418159,0
-0.024839170104799,0.0459983992826363,0
0.0568851495748304,0.00796555860583625,0
-0.0178328561940496,0.0470325012192782,0
-0.0533751643825933,-0.0337790600870178,0
-0.000252270640107133,-0.000692955033483544,0
-0.00401603731649947,0.0206051731519427,0
-0.0979590274080582,-0.255149076994033,0
-0.0639610400822954,-0.0142293880377033,0
0.121686896771743,-0.118935999506032,0
-0.0560708589144987,0.0396576504876505,0
-0.0542211601298553,0.0555019405344404,0
-0.0305145105943394,0.0011944400031163,0
-0.0390613576922527,0.0442325271174299,0
0.0269355300694145,-0.00318839631171053,0
0.0326529204538493,0.0440311955484513,0
-0.02670501567601,0.0206786871078251,0
0.0931536958704633,-0.0181433503558153,0
0.0460891957984271,0.0495319658257657,0
-0.0551633145748072,-0.00705345771873134,0
-0.021362391487558,-0.225053415766099,0
0.0092068744343532,0.0132422564476051,0
0.0121751072177265,-0.00919782884768916,0
-0.0126569245431623,-0.0287624037409746,0
-0.0326531912289219,0.0485220962949486,0
-0.0585978742262918,-0.0259771317843209,0
0.0244044144091424,-0.0034792452140251,0
0.052794502863976,0.017013165859447,0
0.0835081585797299,-0.0348314258196513,0
0.128216979177866,-0.00544875242546961,0
0.0272966823426595,0.0519885173236305,0
-0.0291614266328448,-0.0312284482909596,0
0.0353731838576303,0.008203855132348,0
-0.0116765347929524,0.00399217131235341,0
0.0447380770809043,0.0207196930281661,0
-0.00847508616162496,0.0304659874676234,0
-0.0337095146342692,0.0511120766801223,0
-0.0299867221202614,0.0203532300391823,0
-0.0167681702692486,-0.0265080711093527,0
0.0118813822027966,-0.00934569369503468,0
0.0326530561721936,0.025951944561531,0
-0.0167530371766162,-0.00184445641016096,0
0.0206148620999134,-0.0372405630521088,0
-4.88022799949306e-09,-0.05625125905187,0
0.0624004052954774,0.00896564016535406,0
